"","date","confirm","region"
"436",2020-06-26,89,"National"
"437",2020-06-27,120,"National"
"438",2020-06-28,83,"National"
"439",2020-06-29,91,"National"
"440",2020-06-30,135,"National"
"441",2020-07-01,46,"National"
"442",2020-07-02,8,"National"
"443",2020-07-03,95,"National"
"444",2020-07-04,108,"National"
"445",2020-07-05,69,"National"
"446",2020-07-06,74,"National"
"447",2020-07-07,184,"National"
"448",2020-07-08,172,"National"
"449",2020-07-09,64,"National"
"450",2020-07-10,98,"National"
"451",2020-07-11,28,"National"
"452",2020-07-12,19,"National"
"453",2020-07-13,42,"National"
"454",2020-07-14,101,"National"
"455",2020-07-15,55,"National"
"456",2020-07-16,15,"National"
"457",2020-07-17,88,"National"
"458",2020-07-18,74,"National"
"459",2020-07-19,33,"National"
"460",2020-07-20,96,"National"
"461",2020-07-21,38,"National"
"462",2020-07-22,69,"National"
"463",2020-07-23,51,"National"
"464",2020-07-24,42,"National"
"465",2020-07-25,36,"National"
"466",2020-07-26,11,"National"
"467",2020-07-27,50,"National"
"468",2020-07-28,58,"National"
"469",2020-07-29,41,"National"
"470",2020-07-30,43,"National"
"471",2020-07-31,29,"National"
"472",2020-08-01,29,"National"
"473",2020-08-02,32,"National"
"474",2020-08-03,89,"National"
"475",2020-08-04,27,"National"
"476",2020-08-05,35,"National"
"477",2020-08-06,62,"National"
"478",2020-08-07,72,"National"
"479",2020-08-08,28,"National"
"480",2020-08-09,7,"National"
"481",2020-08-10,46,"National"
"482",2020-08-11,71,"National"
"483",2020-08-12,40,"National"
"484",2020-08-13,55,"National"
"485",2020-08-14,22,"National"
"486",2020-08-15,23,"National"
"487",2020-08-16,12,"National"
"488",2020-08-17,52,"National"
"489",2020-08-18,44,"National"
"490",2020-08-19,55,"National"
"491",2020-08-20,35,"National"
"492",2020-08-21,36,"National"
"493",2020-08-22,8,"National"
"494",2020-08-23,8,"National"
"495",2020-08-24,35,"National"
"496",2020-08-25,3,"National"
"497",2020-08-26,43,"National"
"498",2020-08-27,27,"National"
"499",2020-08-28,32,"National"
"500",2020-08-29,28,"National"
"501",2020-08-30,8,"National"
"502",2020-08-31,30,"National"
"503",2020-09-01,25,"National"
"504",2020-09-02,7,"National"
"505",2020-09-03,25,"National"
"506",2020-09-04,12,"National"
"507",2020-09-05,22,"National"
"508",2020-09-06,4,"National"
"509",2020-09-07,29,"National"
"510",2020-09-08,8,"National"
"511",2020-09-09,11,"National"
"512",2020-09-10,6,"National"
"513",2020-09-11,10,"National"
"514",2020-09-12,10,"National"
"515",2020-09-13,20,"National"
"516",2020-09-14,7,"National"
"517",2020-09-15,7,"National"
"518",2020-09-16,4,"National"
