"region","run_version","timepoint","parameter","mean","2.5%","25%","psrf","psrf_uci","effective_sample_size"
"National","gp",NA,"prob.213",-0.208703877968775,-2.01075044370374,-0.883166776629183,1.00528863394304,1.02103877930374,856.445672520052
"National","gp",NA,"prob.214",-0.205869589255884,-1.89435619240936,-0.819952151190758,1.00072302648366,1.00183772014077,850.325076691558
"National","gp",NA,"prob.215",-0.118219208214842,-2.03597598179531,-0.741650103726339,1.00067770035864,1.00767207941512,845.204771940837
"National","gp",NA,"prob.216",-0.11393333454778,-2.05390250172567,-0.770445086136562,0.999464181347366,1.00745591357127,920.774938866449
"National","gp",NA,"prob.217",-0.138264525193552,-1.94794355940102,-0.839645940049949,1.00215767068412,1.00875500919741,804
"National","gp",NA,"prob.218",-0.14856237759272,-2.23799566090305,-0.87594880728132,0.998647813912132,1.0018933434203,769.476876396081
"National","gp",NA,"prob.219",-0.0141458899828481,-1.92825237576268,-0.695482741554858,1.00522296449395,1.02060867118321,749.107166281362
"National","gp",NA,"prob.220",-0.0659850989218966,-1.86271508786753,-0.758120964607768,1.01093563194277,1.03116386213502,736.161581148686
"National","gp",NA,"prob.221",-0.0559127332416217,-2.11106720772386,-0.70881077710654,1.00789488750469,1.02414102036498,681.108222057049
"National","gp",NA,"prob.222",-0.0550700846227198,-1.9851885789007,-0.699263068441125,1.00672461917633,1.02129230710332,804
"National","gp",NA,"prob.223",-0.0320360412539384,-1.8872008644572,-0.656750022774825,1.01779923765513,1.05251142928121,804
"National","gp",NA,"prob.224",-0.0200214529026921,-1.87321083833223,-0.700635136592635,1.00151496653,1.01044394174529,891.241441578995
"National","gp",NA,"prob.225",-0.0119365107880767,-1.85313376147104,-0.761265616476989,1.0048901003578,1.02218809069511,733.855846771153
