"t","lower","median","upper","district","fit","date"
56,-0.148334105999518,-0.106904981975775,-0.0591568833531551,"Analamanga","gp",2020-04-07
57,-0.1492984627567,-0.104411229915575,-0.055668786674285,"Analamanga","gp",2020-04-08
58,-0.147469175001868,-0.101036559197745,-0.0473707277773359,"Analamanga","gp",2020-04-09
59,-0.152794862683375,-0.0957581953314527,-0.0361619619904641,"Analamanga","gp",2020-04-10
60,-0.152536714997329,-0.0917936945914027,-0.0372148905132524,"Analamanga","gp",2020-04-11
61,-0.142714889973435,-0.0862802102832347,-0.0331674181426451,"Analamanga","gp",2020-04-12
62,-0.142687548249847,-0.083298831004443,-0.0308507098262462,"Analamanga","gp",2020-04-13
63,-0.13154781903774,-0.0804079810623074,-0.0317947687752635,"Analamanga","gp",2020-04-14
64,-0.126472422841294,-0.0737469091442878,-0.0265274205436731,"Analamanga","gp",2020-04-15
65,-0.122635340580098,-0.0708304350304657,-0.02671885218855,"Analamanga","gp",2020-04-16
66,-0.118208602052492,-0.0660817988920301,-0.0193995447793517,"Analamanga","gp",2020-04-17
67,-0.113501153037812,-0.0626910195198201,-0.0146783284764721,"Analamanga","gp",2020-04-18
68,-0.108203290787012,-0.0602136057772655,-0.0107083200138899,"Analamanga","gp",2020-04-19
69,-0.104039970358319,-0.0576970235418571,-0.00893375273999029,"Analamanga","gp",2020-04-20
70,-0.111925295546909,-0.0522581497034194,-0.0103683480940463,"Analamanga","gp",2020-04-21
71,-0.110790151709206,-0.0486037389244325,-0.0057012455422802,"Analamanga","gp",2020-04-22
72,-0.11032084415314,-0.0477980260075872,0.00586507799413624,"Analamanga","gp",2020-04-23
73,-0.108713391283198,-0.0424627918399178,0.0055424371196151,"Analamanga","gp",2020-04-24
74,-0.100622852752438,-0.0409177835857265,0.00235893978320785,"Analamanga","gp",2020-04-25
75,-0.0950179740436662,-0.0390871958597344,0.00468806210189484,"Analamanga","gp",2020-04-26
76,-0.0836536571509642,-0.0359879149690775,0.00956744075486212,"Analamanga","gp",2020-04-27
77,-0.0794918439747638,-0.0332890677781233,0.0165342995090201,"Analamanga","gp",2020-04-28
78,-0.0829932966170352,-0.0274827635965299,0.0251288908377868,"Analamanga","gp",2020-04-29
79,-0.0792069830937815,-0.0248133066476698,0.0248096185881854,"Analamanga","gp",2020-04-30
80,-0.0727647779471699,-0.0237177204481807,0.0269332633287922,"Analamanga","gp",2020-05-01
81,-0.0697594729227076,-0.0228875121891968,0.027043421172821,"Analamanga","gp",2020-05-02
82,-0.0639294582363894,-0.0189971318471285,0.0295819379611679,"Analamanga","gp",2020-05-03
83,-0.0570968709974926,-0.0168974096828818,0.0300686586656246,"Analamanga","gp",2020-05-04
