"t","lower","median","upper","district","fit","date"
26,-0.0888543487646996,-0.00995885112567962,0.0603295860026479,"Atsinanana","gp",2020-03-08
27,-0.0944130653139986,-0.0144611653261824,0.0620886365466729,"Atsinanana","gp",2020-03-09
28,-0.0972616210951242,-0.019638752009297,0.0651918687135097,"Atsinanana","gp",2020-03-10
29,-0.0961838731444355,-0.0243487112414291,0.0621887321346014,"Atsinanana","gp",2020-03-11
30,-0.0980086095647728,-0.0248738249448595,0.0560491411995924,"Atsinanana","gp",2020-03-12
31,-0.0998647666128353,-0.0290371179901596,0.0566773210992668,"Atsinanana","gp",2020-03-13
32,-0.105078626484728,-0.0312572116686228,0.0584549244078629,"Atsinanana","gp",2020-03-14
33,-0.107690751935462,-0.0338386664680667,0.0528328851733121,"Atsinanana","gp",2020-03-15
34,-0.120926914026028,-0.0345230261441015,0.0491360617574002,"Atsinanana","gp",2020-03-16
35,-0.12955271769206,-0.0362901538357303,0.0477742685810085,"Atsinanana","gp",2020-03-17
36,-0.142944944237552,-0.0381127892957915,0.0415152086567696,"Atsinanana","gp",2020-03-18
37,-0.137015179301851,-0.0361156412660643,0.0379330582555111,"Atsinanana","gp",2020-03-19
38,-0.138082792872648,-0.0374362155108583,0.0349731738470233,"Atsinanana","gp",2020-03-20
39,-0.146738285038595,-0.0407704286199202,0.0320824287514739,"Atsinanana","gp",2020-03-21
40,-0.157292305617214,-0.03988432377004,0.0296286866221542,"Atsinanana","gp",2020-03-22
41,-0.165496459722762,-0.0376892666160238,0.0295755363296238,"Atsinanana","gp",2020-03-23
42,-0.163901594261482,-0.034994755633019,0.0335058686960985,"Atsinanana","gp",2020-03-24
43,-0.153284447010243,-0.0320851043870105,0.035613987667605,"Atsinanana","gp",2020-03-25
44,-0.150803627484708,-0.0279387278034656,0.0357092400146615,"Atsinanana","gp",2020-03-26
45,-0.132864916122604,-0.0229055679586626,0.0346602012554451,"Atsinanana","gp",2020-03-27
46,-0.12419622891986,-0.0201472967159894,0.0389356309607224,"Atsinanana","gp",2020-03-28
47,-0.123024595308596,-0.0148428780308409,0.0436028622752568,"Atsinanana","gp",2020-03-29
48,-0.116881319362291,-0.0120049985244723,0.0497657685376406,"Atsinanana","gp",2020-03-30
49,-0.121736132192555,-0.00485629141390629,0.0560728060937828,"Atsinanana","gp",2020-03-31
50,-0.124042992770003,0.000616380727872607,0.0640655731933256,"Atsinanana","gp",2020-04-01
51,-0.118384206626437,0.00622231702244796,0.0746300026053251,"Atsinanana","gp",2020-04-02
52,-0.103836096662235,0.0136245942651701,0.0803176307785875,"Atsinanana","gp",2020-04-03
53,-0.0744101864380173,0.02202342178935,0.0876544001296726,"Atsinanana","gp",2020-04-04
54,-0.0775413680000397,0.0326519277700223,0.0965366737987172,"Atsinanana","gp",2020-04-05
55,-0.0559044164464334,0.043279323487241,0.103213388323749,"Atsinanana","gp",2020-04-06
56,-0.0184020304950848,0.0541285182696708,0.110788546856859,"Atsinanana","gp",2020-04-07
57,-0.0236481616180676,0.0623436394107231,0.121516886747784,"Atsinanana","gp",2020-04-08
58,-0.0186634693776464,0.0738652466349637,0.132610738833825,"Atsinanana","gp",2020-04-09
59,-0.00848419880322105,0.0821548294870397,0.145901628548969,"Atsinanana","gp",2020-04-10
60,0.0226817578228967,0.0909403924033,0.160061126346558,"Atsinanana","gp",2020-04-11
61,0.0353410542519623,0.102049282749967,0.175319271488407,"Atsinanana","gp",2020-04-12
62,0.0455803373410629,0.108111250792762,0.188617793346284,"Atsinanana","gp",2020-04-13
63,0.0576301437542634,0.115307007174882,0.199042320816484,"Atsinanana","gp",2020-04-14
64,0.0697835767265789,0.128753779869809,0.204333435160278,"Atsinanana","gp",2020-04-15
65,0.0851990222430536,0.13578469312212,0.206249650972376,"Atsinanana","gp",2020-04-16
66,0.0976597059986643,0.141411582386781,0.220934213922044,"Atsinanana","gp",2020-04-17
67,0.101493690697592,0.148219465727412,0.232706494586705,"Atsinanana","gp",2020-04-18
68,0.104448655074685,0.15137237344275,0.252376207415826,"Atsinanana","gp",2020-04-19
69,0.111474718584967,0.155556496468937,0.243206079784882,"Atsinanana","gp",2020-04-20
70,0.114034399853022,0.15918736436476,0.233106368884195,"Atsinanana","gp",2020-04-21
71,0.1161237359759,0.159267811430194,0.23270570457285,"Atsinanana","gp",2020-04-22
72,0.111103383077158,0.159362638223082,0.232203941293843,"Atsinanana","gp",2020-04-23
73,0.108532051211297,0.154844179543866,0.232260007327362,"Atsinanana","gp",2020-04-24
74,0.103777702883358,0.148397077158361,0.235138468199052,"Atsinanana","gp",2020-04-25
75,0.0965565270275333,0.139532913117432,0.217365501715577,"Atsinanana","gp",2020-04-26
76,0.0886639917398038,0.133394454207819,0.201423248185329,"Atsinanana","gp",2020-04-27
77,0.0796675885075039,0.12495179717082,0.189227187943341,"Atsinanana","gp",2020-04-28
78,0.0701557477081933,0.115596269774981,0.177591468864392,"Atsinanana","gp",2020-04-29
79,0.0619291053078343,0.107759088680397,0.166426373187692,"Atsinanana","gp",2020-04-30
80,0.0529225182921971,0.0998729138715561,0.155649972209698,"Atsinanana","gp",2020-05-01
81,0.0457417057851798,0.0927788097767164,0.148738635757538,"Atsinanana","gp",2020-05-02
82,0.0395467486159552,0.0847331620432211,0.13712792232837,"Atsinanana","gp",2020-05-03
83,0.034182374046926,0.0765742444771445,0.127194614042397,"Atsinanana","gp",2020-05-04
84,0.0296023142500503,0.0668922715222225,0.121518364564317,"Atsinanana","gp",2020-05-05
85,0.0219233448205568,0.0586119708300721,0.101699908636773,"Atsinanana","gp",2020-05-06
86,0.0160021336478891,0.0518368707696339,0.088685082706522,"Atsinanana","gp",2020-05-07
87,0.0124830341594706,0.0446398251009164,0.0813731144489051,"Atsinanana","gp",2020-05-08
88,0.00983283065841721,0.0380309990448381,0.0724220003519712,"Atsinanana","gp",2020-05-09
89,0.00801182757093914,0.0320611539167363,0.0682498351872838,"Atsinanana","gp",2020-05-10
90,0.0061225398067421,0.0265403764220046,0.0631012051131476,"Atsinanana","gp",2020-05-11
91,0.00453605391989528,0.0224705911691289,0.0562148164547391,"Atsinanana","gp",2020-05-12
92,0.00362918513129572,0.0199425530341306,0.0500547023448096,"Atsinanana","gp",2020-05-13
93,0.00300392933564447,0.0162732766308872,0.0460363464587156,"Atsinanana","gp",2020-05-14
