"t","lower","median","upper","district","fit","date"
36,-0.162719562517743,-0.113334393511372,-0.0683984084162715,"National","gp",2020-03-18
37,-0.169139728552436,-0.117082970620802,-0.0710722444352538,"National","gp",2020-03-19
38,-0.179926117993794,-0.122397948801206,-0.0763401244179476,"National","gp",2020-03-20
39,-0.179687215717227,-0.125871000482788,-0.0752989820113746,"National","gp",2020-03-21
40,-0.180853232390233,-0.128200826630932,-0.0769998046173817,"National","gp",2020-03-22
41,-0.183841747410019,-0.129741097568139,-0.0795887701018301,"National","gp",2020-03-23
42,-0.185123129630031,-0.131333640551113,-0.0792349184997045,"National","gp",2020-03-24
43,-0.187358800548772,-0.133264647017337,-0.0777400889234197,"National","gp",2020-03-25
44,-0.188324566133844,-0.127326830063582,-0.0740331571463895,"National","gp",2020-03-26
45,-0.182029255285723,-0.121513012942053,-0.0670893788346961,"National","gp",2020-03-27
46,-0.175648588269048,-0.11781925058383,-0.0609455092495592,"National","gp",2020-03-28
47,-0.171466261782937,-0.112742962112466,-0.0606878155835916,"National","gp",2020-03-29
48,-0.163732654448456,-0.105004301399534,-0.0554580229855283,"National","gp",2020-03-30
49,-0.156570195534209,-0.0976318251293857,-0.0470299549587712,"National","gp",2020-03-31
50,-0.146628287071057,-0.0877092312799015,-0.0396529343675201,"National","gp",2020-04-01
51,-0.136255611122251,-0.0792753242864149,-0.0385563536875629,"National","gp",2020-04-02
52,-0.123818918431982,-0.0725519516398164,-0.0343767326504938,"National","gp",2020-04-03
53,-0.117636019669972,-0.0618815708438417,-0.0231604806972431,"National","gp",2020-04-04
54,-0.101969225975723,-0.0530395552697654,-0.0120560238111334,"National","gp",2020-04-05
55,-0.0892998092822134,-0.0428276758231399,-0.00416810506331427,"National","gp",2020-04-06
56,-0.0734007126713408,-0.0349744010601599,0.0030978385790731,"National","gp",2020-04-07
57,-0.0619198159308763,-0.0240432815463243,0.0113084109638726,"National","gp",2020-04-08
58,-0.0471623711732168,-0.0158768533360398,0.0176365180294279,"National","gp",2020-04-09
59,-0.0372347739093891,-0.00724949679038342,0.0231175594632034,"National","gp",2020-04-10
60,-0.0298524325836704,0.00110852654360321,0.0343586289583788,"National","gp",2020-04-11
61,-0.0193122336021756,0.00959236509492186,0.0421168604295214,"National","gp",2020-04-12
62,-0.0113277473883554,0.0158634715597657,0.0466711138124596,"National","gp",2020-04-13
63,-0.0074045593516332,0.0196226769715131,0.0487052213002426,"National","gp",2020-04-14
64,-0.00639653100480253,0.0236260306798435,0.0499675744028818,"National","gp",2020-04-15
