"region","run_version","timepoint","parameter","mean","2.5%","25%","psrf","psrf_uci","effective_sample_size"
"Atsinanana","gp",NA,"prob.26",-0.526552265071968,-2.47555381911944,-1.16290240624408,1.01113276795377,1.03713688217325,797.840041178105
"Atsinanana","gp",NA,"prob.27",-0.605312656892889,-2.60873694257151,-1.21374801596575,0.999975317969776,1.00321940653305,755.717450880846
"Atsinanana","gp",NA,"prob.28",-0.557872576100336,-2.47804021251037,-1.18991039620143,0.997335449813664,0.99897315988745,804
"Atsinanana","gp",NA,"prob.29",-0.563322482888988,-2.5854053759753,-1.21108846887784,0.997346896357794,0.999820146298447,1179.80317030627
"Atsinanana","gp",NA,"prob.30",-0.599331376613396,-2.67634116118891,-1.29333682018558,1.00037344783548,1.01062138485681,865.216032908223
"Atsinanana","gp",NA,"prob.31",-0.578232582468699,-2.4527163976153,-1.24994183294468,1.0110639812265,1.02569700491139,738.213155553503
"Atsinanana","gp",NA,"prob.32",-0.581223908073557,-2.47095049077304,-1.23309938136751,1.00320281053944,1.01797715106153,1038.04629866603
"Atsinanana","gp",NA,"prob.33",-0.503312875665192,-2.60032614811597,-1.19669021744713,0.999258431077465,1.00074511737873,651.651701458527
"Atsinanana","gp",NA,"prob.34",-0.519819190858736,-2.42155508671201,-1.17763016194105,1.00884858451855,1.03343294352207,741.006352826151
"Atsinanana","gp",NA,"prob.35",-0.431975817320389,-2.34122778361097,-1.0628224566769,1.00451946458071,1.01816846928156,899.772448020729
"Atsinanana","gp",NA,"prob.36",-0.478292279467725,-2.20444605994466,-1.15981773880126,1.00150354596955,1.01118066472673,896.42255929961
"Atsinanana","gp",NA,"prob.37",-0.459005184478067,-2.39419798333114,-1.06879958439875,0.999817168557978,1.00620176736703,804
"Atsinanana","gp",NA,"prob.38",-0.375804257235049,-2.21515041826,-1.04359578391845,0.998175114293127,1.00163140772762,898.397277046909
"Atsinanana","gp",NA,"prob.39",-0.400128278371333,-2.30551250596826,-1.09235689077475,1.01387340671414,1.03433380327361,908.069042126517
"Atsinanana","gp",NA,"prob.40",-0.354856153196328,-2.34514736198793,-1.05841081771955,1.0043999500692,1.02357290989704,842.947000067172
"Atsinanana","gp",NA,"prob.41",-0.333937049513007,-2.22639360313058,-0.961791342205175,1.00420098457976,1.01283381011613,1122.51743899388
"Atsinanana","gp",NA,"prob.42",-0.239894618290178,-2.02850331695844,-0.895371621464472,1.00112328594855,1.01221656469501,763.266444184394
"Atsinanana","gp",NA,"prob.43",-0.239784117421609,-2.21884621568785,-0.858062176456392,1.00066901417899,1.0070892445809,758.262843439497
