"date","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","region","fit"
2020-05-17,"gp_rt",3,4.114,4.02225665978183,0,1,2,4,6,12,"Analamanga","EpiNow2-IPM-dat"
2020-05-18,"gp_rt",7,8.9655,8.04925508210817,1,3,5,9,12,24,"Analamanga","EpiNow2-IPM-dat"
2020-05-19,"gp_rt",7,8.5245,7.63036403874946,1,3,5,8,12,23,"Analamanga","EpiNow2-IPM-dat"
2020-05-20,"gp_rt",5,7.12425,6.50291349384852,0,3,4,7,10,19,"Analamanga","EpiNow2-IPM-dat"
2020-05-21,"gp_rt",5,6.3035,5.9120745856659,0,2,4,6,9,18,"Analamanga","EpiNow2-IPM-dat"
2020-05-22,"gp_rt",7,8.527,7.59468174433264,1,3,5,8,12,23,"Analamanga","EpiNow2-IPM-dat"
2020-05-23,"gp_rt",5,6.13775,5.64267089871612,0,2,4,6,8,17,"Analamanga","EpiNow2-IPM-dat"
2020-05-24,"gp_rt",3,4.55425,4.33286860810408,0,1,3,4,6,13,"Analamanga","EpiNow2-IPM-dat"
2020-05-25,"gp_rt",9,11.12575,9.32143547031823,1,5,7,11,15,29,"Analamanga","EpiNow2-IPM-dat"
2020-05-26,"gp_rt",9,11.40775,9.42126212258717,1,5,7,11,16,30,"Analamanga","EpiNow2-IPM-dat"
2020-05-27,"gp_rt",8,9.7505,8.26013360677661,1,4,6,10,13,26,"Analamanga","EpiNow2-IPM-dat"
2020-05-28,"gp_rt",7,9.48075,8.00388311844591,1,4,6,10,13,25,"Analamanga","EpiNow2-IPM-dat"
2020-05-29,"gp_rt",10,13.40675,11.3327804362215,1,5,8,13,18,36,"Analamanga","EpiNow2-IPM-dat"
2020-05-30,"gp_rt",8,9.749,8.70321408928167,1,4,6,9,13,27,"Analamanga","EpiNow2-IPM-dat"
2020-05-31,"gp_rt",6,7.59975,6.65767460118575,1,3,5,7,10,21,"Analamanga","EpiNow2-IPM-dat"
2020-06-01,"gp_rt",15,18.36625,15.1674527803274,2,8,11,18,25,47,"Analamanga","EpiNow2-IPM-dat"
2020-06-02,"gp_rt",15,18.51,15.0061552762206,2,8,12,18,25,47,"Analamanga","EpiNow2-IPM-dat"
2020-06-03,"gp_rt",13,16.7305,13.2463480319689,2,7,11,17,23,42,"Analamanga","EpiNow2-IPM-dat"
2020-06-04,"gp_rt",12,15.2175,12.4944076012161,2,6,10,15,21,40,"Analamanga","EpiNow2-IPM-dat"
2020-06-05,"gp_rt",17,21.95725,18.1756983755882,2,9,14,22,30,57,"Analamanga","EpiNow2-IPM-dat"
2020-06-06,"gp_rt",12,15.144,12.5014933441553,2,6,10,15,20,39.0499999999997,"Analamanga","EpiNow2-IPM-dat"
2020-06-07,"gp_rt",9,11.6025,9.61218457339788,1,5,7,11,16,31,"Analamanga","EpiNow2-IPM-dat"
2020-06-08,"gp_rt",23,28.003,22.4220690012,3,12,18,27,38,72,"Analamanga","EpiNow2-IPM-dat"
2020-06-09,"gp_rt",22,27.87325,22.5281060750417,4,12,18,28,37,70,"Analamanga","EpiNow2-IPM-dat"
2020-06-10,"gp_rt",20,24.526,19.5361777111054,3,10,16,24,33,62,"Analamanga","EpiNow2-IPM-dat"
2020-06-11,"gp_rt",18,22.77325,19.0147764874772,3,10,15,22,30,58,"Analamanga","EpiNow2-IPM-dat"
2020-06-12,"gp_rt",25,31.7245,25.6381147509328,4,13,20,31,42,83,"Analamanga","EpiNow2-IPM-dat"
2020-06-13,"gp_rt",18,22.8055,18.9362170147236,3,9,14,22,30,60,"Analamanga","EpiNow2-IPM-dat"
2020-06-14,"gp_rt",14,17.74325,14.9248623885391,2,7,11,17,24,46,"Analamanga","EpiNow2-IPM-dat"
2020-06-15,"gp_rt",35,43.922,34.7577105202594,6,19,28,43,60,109.05,"Analamanga","EpiNow2-IPM-dat"
2020-06-16,"gp_rt",35,45.27125,38.2273593933592,6,19,28,44,60,119.05,"Analamanga","EpiNow2-IPM-dat"
2020-06-17,"gp_rt",32,40.87725,33.4630262524027,6,17,26,40,54,105.05,"Analamanga","EpiNow2-IPM-dat"
2020-06-18,"gp_rt",31,39.28025,32.2210685616153,5,16,25,38,53,102,"Analamanga","EpiNow2-IPM-dat"
2020-06-19,"gp_rt",46,58.46625,48.5614395821528,8,25,37,56,77,150,"Analamanga","EpiNow2-IPM-dat"
2020-06-20,"gp_rt",34,43.67625,35.8207651752714,5,19,28,42,58,113,"Analamanga","EpiNow2-IPM-dat"
2020-06-21,"gp_rt",28,34.49325,27.9620532783876,4,14.75,22,34,47,90,"Analamanga","EpiNow2-IPM-dat"
2020-06-22,"gp_rt",70,87.21775,71.4285961364495,12,37,55,85,115,226,"Analamanga","EpiNow2-IPM-dat"
2020-06-23,"gp_rt",75,94.79275,76.9951028241552,13,40,60,91,127,250.05,"Analamanga","EpiNow2-IPM-dat"
2020-06-24,"gp_rt",69,87.02825,69.3952799414848,12,37.75,55,84,118,222,"Analamanga","EpiNow2-IPM-dat"
2020-06-25,"gp_rt",67,82.9735,65.9739261942502,12,36,53,82,113,204.05,"Analamanga","EpiNow2-IPM-dat"
2020-06-26,"gp_rt",95,122.85075,99.4225813729417,16,52,77,119,165,326,"Analamanga","EpiNow2-IPM-dat"
2020-06-27,"gp_rt",73,90.8795,72.8222476286431,13,39,58,91,123,224,"Analamanga","EpiNow2-IPM-dat"
