type,date,rt_type,bottom,top,lower,upper,median,mean,std,prob_control,mean_window,sd_window,mean_crps,sd_crps,region
nowcast,2020-06-01,nowcast,0.8768192990846821,1.2615447130821709,0.9877023319897918,1.1331015017870147,1.0599126901543445,1.055999134014687,0.11773671433933808,0.2984251968503937,3.547244094488189,2.0699971087403837,2.235826771653543,1.4524626672773364,National
nowcast,2020-06-02,nowcast,0.8409149343766944,1.2432603105794071,0.9626144635224942,1.1114359377556944,1.0405314413642597,1.038575872128453,0.12263942847731124,0.34624505928853755,3.5790513833992095,2.0842941768442365,2.304426877470356,1.7688954381657038,National
nowcast,2020-06-03,nowcast,0.8247676383920065,1.2021055443207735,0.972720723857173,1.1094082284072142,1.0334677931134517,1.0324322237005867,0.11580087692239384,0.3744597249508841,3.8153241650294696,2.0463576283405476,2.201335952848723,1.4987021977102415,National
nowcast,2020-06-04,nowcast,0.8423402662072704,1.2119262928777241,0.9654772511752759,1.10041473612858,1.030942829073895,1.0309476690775587,0.11358039340463019,0.3778217821782178,3.8099009900990097,2.018020290661421,2.091722772277228,1.345899007595014,National
nowcast,2020-06-05,nowcast,0.8486293051988617,1.2272726964677683,0.974977086167594,1.1146109440952938,1.0426987023050756,1.0417310635162211,0.11541515686611822,0.3524950099800399,3.8263473053892216,2.1485805067595862,2.169820359281437,1.390596904951745,National
nowcast,2020-06-06,nowcast,0.8592979785918534,1.2531754376760418,0.9731270506860082,1.1244554198948824,1.0527925425543097,1.0637384773152425,0.12372648016302751,0.31785714285714284,3.6051587301587302,2.068894081850641,2.3800793650793652,1.5895650175031484,National
nowcast,2020-06-07,nowcast,0.8834709012423797,1.2749440982856974,0.9992814837926388,1.1520983391852864,1.0847721983562493,1.0927330078108508,0.12361443298184363,0.221484375,3.65234375,2.0591664446698426,2.2932031250000002,1.5512434642615662,National
nowcast,2020-06-08,nowcast,0.9406829866371087,1.3575518053277327,1.0419337365955093,1.1917842273014236,1.1190185926051899,1.1333678062252095,0.12700406097251163,0.13373015873015873,3.4642857142857144,2.0616525315609104,2.6315079365079366,1.7589147144035056,National
nowcast,2020-06-09,nowcast,0.9536165019991412,1.3739962912764483,1.034991590870446,1.2035566587478657,1.1607699161635072,1.1738956264130935,0.1307203714441475,0.06666666666666667,3.4007936507936507,2.0058665856204443,2.7323015873015875,1.9845463552466915,National
nowcast,2020-06-10,nowcast,1.000212506732092,1.4357341723525459,1.1108125026816809,1.2794264771459645,1.2085818670834167,1.220697472724697,0.1352037707576977,0.02896825396825397,3.2936507936507935,1.9453325022072374,2.8233333333333337,2.1689793949506586,National
nowcast,2020-06-11,nowcast,1.053044196547435,1.5007918571873955,1.1470748296976694,1.3128071560320562,1.2520991879215329,1.2693781246091214,0.14079540285111666,0.010671936758893281,3.217391304347826,2.00142641725365,3.158181818181818,2.4430629541640054,National
nowcast,2020-06-12,nowcast,1.0915524303689808,1.5135614927560868,1.174026411741517,1.3442897690567117,1.2965796146350248,1.3097369782299209,0.13349909094192808,0.0031683168316831685,3.3267326732673266,1.958912901627487,3.1361584158415843,2.0760116523275367,National
nowcast,2020-06-13,nowcast,1.1372638942241966,1.5578697850584422,1.220974049417374,1.381465752227474,1.3342450276232922,1.3450005807424745,0.12915667068294434,0,3.3725099601593627,1.9383383386411754,3.2129083665338647,2.0923102932076536,National
nowcast,2020-06-14,nowcast,1.1840024154330195,1.5613472373493982,1.28262144939882,1.4431653831091917,1.3671435113081372,1.377523596002029,0.12381303679323367,0,3.4901185770750986,2.0532889802433174,3.43501976284585,2.4238352180989087,National
nowcast,2020-06-15,nowcast,1.2094891400171897,1.6140618841631178,1.2809444097334797,1.4417616992751736,1.3884438154858016,1.4005889071383855,0.12688964417526136,3.9603960396039607e-4,3.5287128712871287,2.037599065371091,3.559920792079208,2.3325485799944743,National
nowcast,2020-06-16,nowcast,1.2333969271562502,1.6329095983857038,1.3203846319061217,1.4771338880358618,1.419219492126201,1.4308244593683108,0.12491668036221995,0,3.5189620758483033,1.9889219250339298,3.8624351297405193,2.580092992611429,National
nowcast,2020-06-17,nowcast,1.2595754039772136,1.6602469864483973,1.349017961240885,1.5038517181327284,1.430858386883739,1.4454359664435164,0.12655926193528194,0,3.737574552683897,2.1085120518274065,3.8434194831013917,2.358809432346037,National
nowcast,2020-06-18,nowcast,1.251568338556943,1.6727547007378782,1.3454126900866088,1.5020476411918962,1.447417385073929,1.462094675470818,0.13001971630266623,0,3.739043824701195,2.00478440343504,4.112828685258965,2.660318122609647,National
nowcast,2020-06-19,nowcast,1.2647041269126436,1.647130813367973,1.3554686028989227,1.5140795074711815,1.4517525600941301,1.4591571251847586,0.12178240898556342,0,3.691848906560636,2.071339339591477,4.207872763419483,2.7621775015795813,National
nowcast,2020-06-20,nowcast,1.2623800763470405,1.6308708559865055,1.3481945609198818,1.495889010287542,1.4404368525715243,1.4487022084535888,0.11624422754547319,0,3.8059405940594058,2.065192524408335,4.553029702970297,2.975140884328925,National
nowcast,2020-06-21,nowcast,1.2468152960212517,1.6059290801684805,1.3522135342710015,1.492702226050152,1.422693371829098,1.4274861027796861,0.11055824202220738,7.984031936127744e-4,3.684630738522954,2.0739963779650035,4.833932135728543,2.954593797490977,National
nowcast,2020-06-22,nowcast,1.245816200714371,1.596138058198299,1.3419841142790236,1.4843946154651564,1.410961653148212,1.4137159181551655,0.10721497736404925,0,3.626746506986028,2.040524738316222,4.907944111776447,2.9526007861927517,National
nowcast,2020-06-23,nowcast,1.2154649761479317,1.5491069607306867,1.3251629769771407,1.4609831480495032,1.387354405828006,1.3886466857398163,0.10337808825223518,0,3.446215139442231,2.0843357640867404,5.266693227091634,3.1924559560628087,National
nowcast,2020-06-24,nowcast,1.2020378159812954,1.5439110423130746,1.2957997403089045,1.4313830355119408,1.3617154642361058,1.3667522461424984,0.10507763017789697,0,3.3916500994035785,2.0542778630503533,5.607713717693837,3.4108238467261365,National
nowcast,2020-06-25,nowcast,1.183785321240563,1.4995922770881813,1.2860256166168125,1.4075904059777027,1.3461454590305069,1.3468878924615644,0.096754917562995,7.968127490039841e-4,3.414342629482072,1.9893181930981403,5.748127490039841,3.8070869179463713,National
nowcast,2020-06-26,nowcast,1.167173091099682,1.476817400492944,1.2650188899306103,1.3954326137930864,1.3230466939200158,1.3278910749957074,0.09756800169847919,0,3.4151696606786426,2.0582786506088047,5.9916966067864275,3.921034620578505,National
nowcast,2020-06-27,nowcast,1.1325643720007672,1.4438706907031134,1.2299286004940921,1.3497896924671426,1.293972075923878,1.294789138757435,0.09404749317804145,0.002385685884691849,3.1968190854870775,2.0011506785992386,6.792365805168986,4.863998465805851,National
nowcast,2020-06-28,nowcast,1.095511290960747,1.3960503213296738,1.1800081432511755,1.3004683393178766,1.2508617661825991,1.2532210799544972,0.09147137886521076,0.0011904761904761906,2.8095238095238093,1.8550673525031152,7.434920634920634,5.374275655251525,National
nowcast,2020-06-29,nowcast,1.0679763582962685,1.3421656033686808,1.135898817817115,1.2508251573728955,1.201570905233778,1.2061499826110649,0.08601244291372455,0.00718562874251497,2.4491017964071857,1.6838549829041825,7.894770459081836,5.665166442382232,National
nowcast,2020-06-30,nowcast,1.0276505436104617,1.281374494649227,1.0825692140839622,1.18824653008987,1.1494579737951907,1.1525122952369136,0.07761028851464659,0.016334661354581673,2.055776892430279,1.367532074838226,8.914741035856574,6.883197539121196,National
nowcast,2020-07-01,nowcast,0.9924232104532162,1.2342104106545682,1.052872760926335,1.1487491449407687,1.1003057120588706,1.1015804504055056,0.07317499458168206,0.0772,1.998,1.3794046189719449,9.17696,6.665825504036248,National
nowcast,2020-07-02,nowcast,0.9558583272809729,1.1636878722753865,1.0061172719964353,1.0904834267940782,1.056406312719555,1.057662810165428,0.06320339704980109,0.18207171314741036,2.0338645418326693,1.3469658734157897,8.141035856573705,5.455377055983074,National
nowcast,2020-07-03,nowcast,0.9237811872051822,1.1193860410278875,0.9857933780552254,1.065708532151033,1.0192692151459646,1.0197181349951223,0.060068761500123184,0.37045908183632736,2.125748502994012,1.2851121614065142,8.18059880239521,6.325902210647323,National
nowcast,2020-07-04,nowcast,0.8821935031906154,1.0795788856195538,0.9523094071855336,1.0302292768871906,0.9894403207664286,0.9868920529202422,0.060615160926190424,0.5853174603174603,2.2718253968253967,1.4044673807993893,7.172857142857143,4.678985285967534,National
nowcast,2020-07-05,nowcast,0.8585961138075464,1.0609141175695935,0.9141508387829396,0.9969194990518664,0.9552094998439172,0.9544704008848794,0.06106741062213696,0.768063872255489,2.3532934131736525,1.5313986550834047,7.7186427145708585,5.927366116881774,National
nowcast,2020-07-06,nowcast,0.822400484044761,1.008369645804676,0.8777207523356062,0.9543814098934217,0.916847740867683,0.9166013628307429,0.057351892700147254,0.9265469061876247,2.30938123752495,1.463783984978582,7.4855888223552896,5.267680170207172,National
nowcast,2020-07-07,nowcast,0.7823624645563664,0.9659592516493637,0.8348129666359618,0.9111660835202161,0.8720057014804868,0.8716507924792232,0.0570453352477632,0.989662027833002,2.10337972166998,1.409299897897507,7.755626242544731,5.516023086932468,National
nowcast,2020-07-08,nowcast,0.7409434671214041,0.9282142001174565,0.7911384130774817,0.8672521682699138,0.8364617480566178,0.8351069107784993,0.056458639497316825,0.9984031936127744,2.093812375249501,1.4387042242846817,6.842634730538922,4.807343565926406,National
nowcast,2020-07-09,nowcast,0.7153874561097281,0.8976369578726523,0.7758853520164979,0.8488717855306492,0.8103699294317186,0.8090673456500903,0.054742175283330585,1,2.314229249011858,1.4887462046224027,6.088458498023715,4.236220841487122,National
nowcast,2020-07-10,nowcast,0.7119791483088241,0.8880775590195281,0.7664380845709373,0.8418017427549264,0.799971474643769,0.79834932413367,0.054240615115979086,1,2.8846918489065607,1.8822286418963718,4.822823061630219,2.877276204970719,National
nowcast,2020-07-11,nowcast,0.7096494417313394,0.8761601569008552,0.7700442028712354,0.838460153099484,0.7999508824859861,0.7966806437209862,0.05123535209932774,1,3.4191616766467066,1.9580137862203975,4.359680638722555,2.6991549784419853,National
nowcast,2020-07-12,nowcast,0.7052150378867562,0.8662435688829944,0.7597488480485811,0.8265229850875291,0.7902401370752142,0.7885159854316064,0.050006765287712716,0.9996023856858847,3.6600397614314115,2.0107442108911817,4.172246520874752,2.475497009566832,National
nowcast,2020-07-13,nowcast,0.7009066968668813,0.8635895317622241,0.7695672582048457,0.8322249587639411,0.7901474490919851,0.7886121455330178,0.04981584039949908,1,3.8402366863905324,2.0577970629208826,3.87163708086785,2.3382950623867638,National
nowcast,2020-07-14,nowcast,0.7065834911660943,0.8722826901786175,0.7555665736941128,0.8207212428382124,0.7876240731734038,0.788915378832739,0.05313681650124844,0.998003992015968,3.7385229540918163,2.0905741349280698,3.8401596806387226,2.4005723439058815,National
nowcast,2020-07-15,nowcast,0.6964904140210575,0.8736605292226427,0.7586316575024102,0.8237101662686449,0.7879472994836566,0.7885303289648359,0.05395852380126277,0.999203187250996,3.6772908366533863,2.040698461389764,3.81195219123506,2.4400218094425266,National
nowcast,2020-07-16,nowcast,0.6963328912652962,0.8738378490235897,0.7523438104682357,0.8199620634901773,0.7859010930065996,0.7881020749768726,0.05405380619695051,0.9996062992125985,3.751968503937008,2.072317985825501,3.7991338582677168,2.599247179048148,National
nowcast,2020-07-17,nowcast,0.7049395057275396,0.8865478692034988,0.7554559835959348,0.8244414052110849,0.792931817118873,0.7966490370768615,0.056244583275045765,0.9976190476190476,3.6924603174603177,2.1214285772631234,3.7265079365079368,2.3862146494504213,National
nowcast,2020-07-18,nowcast,0.7093138388500109,0.8942914672645815,0.7631729790297826,0.8350899865848107,0.803240360581685,0.8075601771418279,0.05893417264492164,0.9928429423459244,3.701789264413519,2.0452655954012324,3.605009940357853,2.2488459760168222,National
nowcast,2020-07-19,nowcast,0.7203777383749275,0.9214417339011793,0.7799125432894402,0.8539128704757737,0.8185529404201433,0.8249722063284433,0.0634212385125649,0.9848303393213573,3.465069860279441,2.0422057873645025,3.7684630738522955,2.490254213420349,National
nowcast,2020-07-20,nowcast,0.7316821624209089,0.9499248722688932,0.7922128486565119,0.8807769934102969,0.8426798473091865,0.8480965628302961,0.0681872585929861,0.9765407554671968,3.353876739562624,2.077941283300703,4.101789264413519,2.739055312493093,National
nowcast,2020-07-21,nowcast,0.7563036767992468,1.0058719367713058,0.8126579460821809,0.9119358697880234,0.8710779098926856,0.8785414933737894,0.0771489592182769,0.9289421157684631,3.063872255489022,1.977285190580479,4.302594810379242,3.0724900880145247,National
nowcast,2020-07-22,nowcast,0.7803227473274029,1.0255811470062135,0.8384506245065284,0.9379684992179053,0.9006850410250707,0.9081156918611433,0.07675936203758292,0.8824701195219123,3.1175298804780875,1.9469169796095094,4.418326693227092,3.3343721826717774,National
nowcast,2020-07-23,nowcast,0.8129209063866131,1.071707937620939,0.878358312123739,0.9861049601758587,0.9386307016808147,0.9468021377752418,0.08253770428802128,0.7548514851485149,2.9742574257425742,1.8408688791059302,4.563881188118812,3.3879455581129254,National
nowcast,2020-07-24,nowcast,0.8463963107785405,1.1008261327633293,0.9010620934030839,1.0034020997491695,0.9640306865212813,0.9701013535581127,0.07911490295412352,0.6722222222222223,3.1011904761904763,1.947015144989874,4.043571428571429,2.68147659614364,National
nowcast,2020-07-25,nowcast,0.85882835927072,1.0942807921770608,0.9217527150860377,1.0108338813717619,0.972119150611203,0.9790738594958867,0.07414566309870244,0.6534930139720558,3.4231536926147705,1.952046632803815,3.3825149700598804,1.797557154450957,National
nowcast,2020-07-26,nowcast,0.8606050436479423,1.0800900239507014,0.9132041012139686,0.9973227037894661,0.9705842738163776,0.974518987815433,0.06894155101330089,0.6801587301587302,3.748015873015873,2.0605165602786704,3.750238095238095,2.6522912007159656,National
nowcast,2020-07-27,nowcast,0.8636511176331262,1.069884248766869,0.9252929396934244,1.003601785960692,0.9619385356674753,0.9629597445441437,0.06357197358116726,0.7398019801980198,3.988118811881188,2.1270691021393557,3.743366336633663,2.65861794182499,National
nowcast,2020-07-28,nowcast,0.8453589479749088,1.0494152258763367,0.9113081202648748,0.9914920836665668,0.9547665174815494,0.9533825046329656,0.0634618292260335,0.7856287425149701,3.682634730538922,2.0876074526857207,3.5978443113772456,2.4236662910656364,National
nowcast,2020-07-29,nowcast,0.8201042625118947,1.0426962377922053,0.9068127351823978,0.9918091557225964,0.942216234261346,0.9376533626249479,0.06846850844722417,0.833932135728543,3.4830339321357284,2.0840495092667513,3.6320958083832333,2.467561715841777,National
nowcast,2020-07-30,nowcast,0.8095432582208008,1.0198990231244165,0.8928001253543724,0.9757854772850885,0.9185123302773408,0.9157799310051767,0.06462003663527321,0.9161676646706587,3.435129740518962,2.090762867984197,3.63688622754491,2.5205886807161084,National
nowcast,2020-07-31,nowcast,0.7633511195136663,0.9847143448170903,0.8446869281821182,0.9323268225285558,0.8901740447487645,0.8853075970302023,0.06862582560508057,0.9658730158730159,3.1646825396825395,1.9117755014894335,3.7533333333333334,2.59945088408482,National
nowcast,2020-08-01,nowcast,0.7375023149106686,0.95788023100587,0.8106798440624883,0.9015026969154671,0.8498250326392581,0.8449809515913942,0.06837048320691506,0.9925049309664694,2.824457593688363,1.8376149169367422,4.0585404339250495,3.0350564605729553,National
nowcast,2020-08-02,nowcast,0.6814997936203842,0.9201962553284703,0.7765138882562151,0.8740094090882942,0.8124184680945303,0.8054056765341624,0.07361945026596889,0.9992094861660079,2.7905138339920947,1.776229443731772,3.751383399209486,2.6841264242154312,National
nowcast,2020-08-03,nowcast,0.6575315274236301,0.8943977823227316,0.7373779026126558,0.8354490472821374,0.7836920510888118,0.7790843759683166,0.07340612952616285,0.9988095238095238,2.8353174603174605,1.7917211520750294,3.2987301587301587,2.344208944659983,National
nowcast,2020-08-04,nowcast,0.6351179722541369,0.8717309732113578,0.7222041187903024,0.8198309980577205,0.7660827950625337,0.763130522212842,0.07327713973844893,0.998804780876494,3.147410358565737,1.908160212222349,2.8817529880478086,1.8086097052993675,National
nowcast,2020-08-05,nowcast,0.6365721996153912,0.8814259797362406,0.7165492390421232,0.8092391805026988,0.7582185495880847,0.7543758889280568,0.07359971530480057,0.9996007984031936,3.3832335329341316,1.9377385258084356,2.598562874251497,1.6956826905054831,National
nowcast,2020-08-06,nowcast,0.6404689250752761,0.8783700854626347,0.72377457907034,0.8128735658994319,0.7620006957597564,0.761526445022799,0.07457053909373174,0.9944554455445545,3.734653465346535,2.082130771740059,2.463841584158416,1.607681237257997,National
nowcast,2020-08-07,nowcast,0.6494618772142278,0.8854743137325518,0.7247519233191322,0.8087086884595539,0.7684999040332365,0.7725793328162079,0.07320541402447295,0.9928571428571429,3.7976190476190474,2.059726074578081,2.537936507936508,1.579580558222077,National
nowcast,2020-08-08,nowcast,0.658193695964139,0.9177189419972531,0.7297343465976993,0.8246184086917911,0.7855003278538817,0.7927439091159358,0.08211425503457011,0.9794466403162055,3.6936758893280635,2.07773019367346,2.652806324110672,1.8116639220639223,National
