"date","confirm","region","source"
2020-09-24,6,"Analamanga","IPM-data"
2020-09-25,5,"Analamanga","IPM-data"
2020-09-26,2,"Analamanga","IPM-data"
2020-09-27,1,"Analamanga","IPM-data"
2020-09-28,3,"Analamanga","IPM-data"
2020-09-29,4,"Analamanga","IPM-data"
2020-09-30,1,"Analamanga","IPM-data"
2020-10-01,0,"Analamanga","IPM-data"
2020-10-02,0,"Analamanga","IPM-data"
2020-10-03,0,"Analamanga","IPM-data"
2020-10-04,0,"Analamanga","IPM-data"
2020-10-05,0,"Analamanga","IPM-data"
2020-10-06,0,"Analamanga","IPM-data"
2020-10-07,0,"Analamanga","IPM-data"
2020-03-18,1,"National","IPM-data"
2020-03-19,2,"National","IPM-data"
2020-03-20,13,"National","IPM-data"
2020-03-21,0,"National","IPM-data"
2020-03-22,2,"National","IPM-data"
2020-03-23,0,"National","IPM-data"
2020-03-24,5,"National","IPM-data"
2020-03-25,5,"National","IPM-data"
2020-03-26,14,"National","IPM-data"
2020-03-27,3,"National","IPM-data"
2020-03-28,3,"National","IPM-data"
2020-03-29,1,"National","IPM-data"
2020-03-30,2,"National","IPM-data"
2020-03-31,7,"National","IPM-data"
2020-04-01,5,"National","IPM-data"
2020-04-02,0,"National","IPM-data"
2020-04-03,5,"National","IPM-data"
2020-04-04,9,"National","IPM-data"
2020-04-05,4,"National","IPM-data"
2020-04-06,6,"National","IPM-data"
2020-04-07,2,"National","IPM-data"
2020-04-08,4,"National","IPM-data"
2020-04-09,2,"National","IPM-data"
2020-04-10,1,"National","IPM-data"
2020-04-11,1,"National","IPM-data"
2020-04-12,4,"National","IPM-data"
2020-04-13,3,"National","IPM-data"
2020-04-14,4,"National","IPM-data"
2020-04-15,2,"National","IPM-data"
2020-04-16,2,"National","IPM-data"
2020-04-17,1,"National","IPM-data"
2020-04-18,0,"National","IPM-data"
2020-04-19,0,"National","IPM-data"
2020-04-20,0,"National","IPM-data"
2020-04-21,0,"National","IPM-data"
2020-04-22,1,"National","IPM-data"
2020-04-23,2,"National","IPM-data"
2020-04-24,4,"National","IPM-data"
2020-04-25,0,"National","IPM-data"
2020-04-26,0,"National","IPM-data"
2020-04-27,0,"National","IPM-data"
2020-04-28,3,"National","IPM-data"
2020-04-29,2,"National","IPM-data"
2020-04-30,8,"National","IPM-data"
2020-05-01,8,"National","IPM-data"
2020-05-02,9,"National","IPM-data"
2020-05-03,19,"National","IPM-data"
2020-05-04,47,"National","IPM-data"
2020-05-05,5,"National","IPM-data"
2020-05-06,71,"National","IPM-data"
2020-05-07,23,"National","IPM-data"
2020-05-08,12,"National","IPM-data"
2020-05-09,12,"National","IPM-data"
2020-05-10,9,"National","IPM-data"
2020-05-11,26,"National","IPM-data"
2020-05-12,13,"National","IPM-data"
2020-05-13,24,"National","IPM-data"
2020-05-14,31,"National","IPM-data"
2020-05-15,47,"National","IPM-data"
2020-05-16,20,"National","IPM-data"
2020-05-17,5,"National","IPM-data"
2020-05-18,23,"National","IPM-data"
2020-05-19,17,"National","IPM-data"
2020-05-20,26,"National","IPM-data"
2020-05-21,10,"National","IPM-data"
2020-05-22,17,"National","IPM-data"
2020-05-23,6,"National","IPM-data"
2020-05-24,16,"National","IPM-data"
2020-05-25,21,"National","IPM-data"
2020-05-26,45,"National","IPM-data"
2020-05-27,42,"National","IPM-data"
2020-05-28,17,"National","IPM-data"
2020-05-29,36,"National","IPM-data"
2020-05-30,37,"National","IPM-data"
2020-05-31,14,"National","IPM-data"
2020-06-01,31,"National","IPM-data"
2020-06-02,71,"National","IPM-data"
2020-06-03,30,"National","IPM-data"
2020-06-04,31,"National","IPM-data"
2020-06-05,6,"National","IPM-data"
2020-06-06,12,"National","IPM-data"
2020-06-07,3,"National","IPM-data"
2020-06-08,20,"National","IPM-data"
2020-06-09,27,"National","IPM-data"
2020-06-10,27,"National","IPM-data"
2020-06-11,13,"National","IPM-data"
2020-06-12,10,"National","IPM-data"
2020-06-13,16,"National","IPM-data"
2020-06-14,5,"National","IPM-data"
2020-06-15,67,"National","IPM-data"
2020-06-16,30,"National","IPM-data"
2020-06-17,23,"National","IPM-data"
2020-06-18,9,"National","IPM-data"
2020-06-19,13,"National","IPM-data"
2020-06-20,31,"National","IPM-data"
2020-06-21,3,"National","IPM-data"
2020-06-22,30,"National","IPM-data"
2020-06-23,9,"National","IPM-data"
2020-06-24,29,"National","IPM-data"
2020-06-25,31,"National","IPM-data"
2020-06-26,89,"National","IPM-data"
2020-06-27,120,"National","IPM-data"
2020-06-28,83,"National","IPM-data"
2020-06-29,91,"National","IPM-data"
2020-06-30,135,"National","IPM-data"
2020-07-01,46,"National","IPM-data"
2020-07-02,8,"National","IPM-data"
2020-07-03,95,"National","IPM-data"
2020-07-04,108,"National","IPM-data"
2020-07-05,69,"National","IPM-data"
2020-07-06,74,"National","IPM-data"
2020-07-07,184,"National","IPM-data"
2020-07-08,172,"National","IPM-data"
2020-07-09,64,"National","IPM-data"
2020-07-10,98,"National","IPM-data"
2020-07-11,28,"National","IPM-data"
2020-07-12,19,"National","IPM-data"
2020-07-13,42,"National","IPM-data"
2020-07-14,101,"National","IPM-data"
2020-07-15,55,"National","IPM-data"
2020-07-16,15,"National","IPM-data"
2020-07-17,88,"National","IPM-data"
2020-07-18,74,"National","IPM-data"
2020-07-19,33,"National","IPM-data"
2020-07-20,96,"National","IPM-data"
2020-07-21,38,"National","IPM-data"
2020-07-22,69,"National","IPM-data"
2020-07-23,51,"National","IPM-data"
2020-07-24,42,"National","IPM-data"
2020-07-25,36,"National","IPM-data"
2020-07-26,11,"National","IPM-data"
2020-07-27,50,"National","IPM-data"
2020-07-28,58,"National","IPM-data"
2020-07-29,41,"National","IPM-data"
2020-07-30,43,"National","IPM-data"
2020-07-31,29,"National","IPM-data"
2020-08-01,29,"National","IPM-data"
2020-08-02,32,"National","IPM-data"
2020-08-03,89,"National","IPM-data"
2020-08-04,27,"National","IPM-data"
2020-08-05,35,"National","IPM-data"
2020-08-06,62,"National","IPM-data"
2020-08-07,72,"National","IPM-data"
2020-08-08,28,"National","IPM-data"
2020-08-09,7,"National","IPM-data"
2020-08-10,46,"National","IPM-data"
2020-08-11,71,"National","IPM-data"
2020-08-12,40,"National","IPM-data"
2020-08-13,55,"National","IPM-data"
2020-08-14,22,"National","IPM-data"
2020-08-15,23,"National","IPM-data"
2020-08-16,12,"National","IPM-data"
2020-08-17,52,"National","IPM-data"
2020-08-18,44,"National","IPM-data"
2020-08-19,55,"National","IPM-data"
2020-08-20,35,"National","IPM-data"
2020-08-21,36,"National","IPM-data"
2020-08-22,8,"National","IPM-data"
2020-08-23,8,"National","IPM-data"
2020-08-24,35,"National","IPM-data"
2020-08-25,3,"National","IPM-data"
2020-08-26,43,"National","IPM-data"
2020-08-27,27,"National","IPM-data"
2020-08-28,32,"National","IPM-data"
2020-08-29,28,"National","IPM-data"
2020-08-30,8,"National","IPM-data"
2020-08-31,30,"National","IPM-data"
2020-09-01,25,"National","IPM-data"
2020-09-02,7,"National","IPM-data"
2020-09-03,25,"National","IPM-data"
2020-09-04,12,"National","IPM-data"
2020-09-05,22,"National","IPM-data"
2020-09-06,4,"National","IPM-data"
2020-09-07,29,"National","IPM-data"
2020-09-08,8,"National","IPM-data"
2020-09-09,11,"National","IPM-data"
2020-09-10,6,"National","IPM-data"
2020-09-11,10,"National","IPM-data"
2020-09-12,10,"National","IPM-data"
2020-09-13,20,"National","IPM-data"
2020-09-14,7,"National","IPM-data"
2020-09-15,7,"National","IPM-data"
2020-09-16,4,"National","IPM-data"
2020-09-17,11,"National","IPM-data"
2020-09-18,9,"National","IPM-data"
2020-09-19,5,"National","IPM-data"
2020-09-20,7,"National","IPM-data"
2020-09-21,9,"National","IPM-data"
2020-09-22,4,"National","IPM-data"
2020-09-23,14,"National","IPM-data"
2020-09-24,7,"National","IPM-data"
2020-09-25,5,"National","IPM-data"
2020-09-26,2,"National","IPM-data"
2020-09-27,2,"National","IPM-data"
2020-09-28,5,"National","IPM-data"
2020-09-29,4,"National","IPM-data"
2020-09-30,18,"National","IPM-data"
2020-10-01,0,"National","IPM-data"
2020-10-02,0,"National","IPM-data"
2020-10-03,0,"National","IPM-data"
2020-10-04,0,"National","IPM-data"
2020-10-05,0,"National","IPM-data"
2020-10-06,0,"National","IPM-data"
2020-10-07,0,"National","IPM-data"
2020-03-20,3,"Analamanga","publicly-reported-data"
2020-03-22,9,"Analamanga","publicly-reported-data"
2020-03-23,5,"Analamanga","publicly-reported-data"
2020-03-24,2,"Analamanga","publicly-reported-data"
2020-03-26,4,"Analamanga","publicly-reported-data"
2020-03-27,3,"Analamanga","publicly-reported-data"
2020-03-28,4,"Analamanga","publicly-reported-data"
2020-03-29,6,"Analamanga","publicly-reported-data"
2020-04-01,4,"Analamanga","publicly-reported-data"
2020-04-02,1,"Analamanga","publicly-reported-data"
2020-04-03,5,"Analamanga","publicly-reported-data"
2020-04-06,5,"Analamanga","publicly-reported-data"
2020-04-07,3,"Analamanga","publicly-reported-data"
2020-04-08,2,"Analamanga","publicly-reported-data"
2020-04-10,3,"Analamanga","publicly-reported-data"
2020-04-12,3,"Analamanga","publicly-reported-data"
2020-04-14,2,"Analamanga","publicly-reported-data"
2020-04-15,2,"Analamanga","publicly-reported-data"
2020-04-17,3,"Analamanga","publicly-reported-data"
2020-04-18,2,"Analamanga","publicly-reported-data"
2020-04-19,1,"Analamanga","publicly-reported-data"
2020-04-24,1,"Analamanga","publicly-reported-data"
2020-04-27,3,"Analamanga","publicly-reported-data"
2020-05-01,4,"Analamanga","publicly-reported-data"
2020-05-03,6,"Analamanga","publicly-reported-data"
2020-05-06,1,"Analamanga","publicly-reported-data"
2020-05-08,4,"Analamanga","publicly-reported-data"
2020-05-11,3,"Analamanga","publicly-reported-data"
2020-05-13,2,"Analamanga","publicly-reported-data"
2020-05-14,2,"Analamanga","publicly-reported-data"
2020-05-16,16,"Analamanga","publicly-reported-data"
2020-05-19,2,"Analamanga","publicly-reported-data"
2020-05-20,3,"Analamanga","publicly-reported-data"
2020-05-22,5,"Analamanga","publicly-reported-data"
2020-05-24,10,"Analamanga","publicly-reported-data"
2020-05-25,2,"Analamanga","publicly-reported-data"
2020-05-26,10,"Analamanga","publicly-reported-data"
2020-05-27,8,"Analamanga","publicly-reported-data"
2020-05-28,11,"Analamanga","publicly-reported-data"
2020-05-29,1,"Analamanga","publicly-reported-data"
2020-05-30,25,"Analamanga","publicly-reported-data"
2020-05-31,10,"Analamanga","publicly-reported-data"
2020-06-01,4,"Analamanga","publicly-reported-data"
2020-06-02,2,"Analamanga","publicly-reported-data"
2020-06-03,23,"Analamanga","publicly-reported-data"
2020-06-04,5,"Analamanga","publicly-reported-data"
2020-06-05,5,"Analamanga","publicly-reported-data"
2020-06-06,28,"Analamanga","publicly-reported-data"
2020-06-07,12,"Analamanga","publicly-reported-data"
2020-06-09,4,"Analamanga","publicly-reported-data"
2020-06-11,12,"Analamanga","publicly-reported-data"
2020-06-12,17,"Analamanga","publicly-reported-data"
2020-06-13,12,"Analamanga","publicly-reported-data"
2020-06-14,6,"Analamanga","publicly-reported-data"
2020-06-15,7,"Analamanga","publicly-reported-data"
2020-06-16,21,"Analamanga","publicly-reported-data"
2020-06-17,52,"Analamanga","publicly-reported-data"
2020-06-19,8,"Analamanga","publicly-reported-data"
2020-06-20,44,"Analamanga","publicly-reported-data"
2020-06-21,71,"Analamanga","publicly-reported-data"
2020-06-22,10,"Analamanga","publicly-reported-data"
2020-06-23,83,"Analamanga","publicly-reported-data"
2020-06-24,38,"Analamanga","publicly-reported-data"
2020-06-25,37,"Analamanga","publicly-reported-data"
2020-06-26,11,"Analamanga","publicly-reported-data"
2020-06-27,74,"Analamanga","publicly-reported-data"
2020-06-28,66,"Analamanga","publicly-reported-data"
2020-06-29,49,"Analamanga","publicly-reported-data"
2020-06-30,75,"Analamanga","publicly-reported-data"
2020-07-01,88,"Analamanga","publicly-reported-data"
2020-07-02,52,"Analamanga","publicly-reported-data"
2020-07-03,85,"Analamanga","publicly-reported-data"
2020-07-04,209,"Analamanga","publicly-reported-data"
2020-07-05,197,"Analamanga","publicly-reported-data"
2020-07-06,303,"Analamanga","publicly-reported-data"
2020-07-07,210,"Analamanga","publicly-reported-data"
2020-07-08,96,"Analamanga","publicly-reported-data"
2020-07-09,209,"Analamanga","publicly-reported-data"
2020-07-10,341,"Analamanga","publicly-reported-data"
2020-07-11,401,"Analamanga","publicly-reported-data"
2020-07-12,249,"Analamanga","publicly-reported-data"
2020-07-13,193,"Analamanga","publicly-reported-data"
2020-07-14,252,"Analamanga","publicly-reported-data"
2020-07-15,205,"Analamanga","publicly-reported-data"
2020-07-16,433,"Analamanga","publicly-reported-data"
2020-07-17,238,"Analamanga","publicly-reported-data"
