"region","fit","variable","date","type","bottom","top","lower","upper","median","mean"
"National","EpiNow2-IPM-dat","R","2020-03-29","estimate",0.766774374414567,1.13565791018073,0.854579882999943,1.00221317751144,0.925489881419838,0.935033540672022
"National","EpiNow2-IPM-dat","R","2020-03-30","estimate",0.740595357176173,1.0999495609329,0.825570676984791,0.968949825924594,0.895678470291553,0.903372080770295
"National","EpiNow2-IPM-dat","R","2020-03-31","estimate",0.711615914232646,1.06184085097203,0.796798287450922,0.934773095175747,0.864369694736688,0.871385841639524
"National","EpiNow2-IPM-dat","R","2020-04-01","estimate",0.679031042382473,1.02196725236596,0.768836468134605,0.901952836053772,0.832693328965181,0.839890180685848
"National","EpiNow2-IPM-dat","R","2020-04-02","estimate",0.651589122215956,0.985932232127786,0.741366475196604,0.871243940064374,0.80297631682767,0.809706595587035
"National","EpiNow2-IPM-dat","R","2020-04-03","estimate",0.623349326219739,0.951345321881129,0.714751899015418,0.8451080243651,0.77713369193865,0.781633701490509
"National","EpiNow2-IPM-dat","R","2020-04-04","estimate",0.598873902210433,0.920466923483653,0.688683843012093,0.819457249508476,0.752106933878561,0.756431323918371
"National","EpiNow2-IPM-dat","R","2020-04-05","estimate",0.579399865949749,0.897765783989691,0.666667953249448,0.79944962934691,0.732538042398329,0.734816370327162
"National","EpiNow2-IPM-dat","R","2020-04-06","estimate",0.558890328041333,0.881638165543659,0.649033122056173,0.782387526547977,0.714476527972004,0.717468511045471
"National","EpiNow2-IPM-dat","R","2020-04-07","estimate",0.54235603332074,0.873913497637548,0.633955411437821,0.772582124501988,0.701204888997375,0.705043897704379
"National","EpiNow2-IPM-dat","R","2020-04-08","estimate",0.530866998976414,0.872675946901723,0.62600393475406,0.767742410470777,0.694610600125773,0.698195361515301
"National","EpiNow2-IPM-dat","R","2020-04-09","estimate",0.524289668109439,0.87827206472882,0.623599201437896,0.769464244462553,0.692751258313059,0.697597314027069
"National","EpiNow2-IPM-dat","R","2020-04-10","estimate",0.519807378703229,0.895798132455835,0.627417649801693,0.778668298033796,0.698726424904116,0.703972883082855
