date,confirm,region
9/24/20,7,National
9/25/20,5,National
9/26/20,2,National
9/27/20,2,National
9/28/20,5,National
9/29/20,4,National
9/30/20,18,National
10/1/20,0,National
10/2/20,0,National
10/3/20,0,National
10/4/20,0,National
10/5/20,0,National
10/6/20,0,National
10/7/20,0,National
