"machine","test","target","dilution","run","isolate","replicate","Ct","run.isolate.replicate","isolate.replicate","flag"
"QuantStudio5","TaqPath","S",1e-06,"1","3","1",31.923,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",1e-07,"1","3","1",35.854,"1-3-1","3-1",1
"QuantStudio5","TaqPath","S",1e-08,"1","3","1",NA,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",1,"1","1","1",10.803,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",0.1,"1","1","1",14.084,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",0.01,"1","1","1",17.33,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",0.001,"1","1","1",20.656,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-04,"1","1","1",23.98,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-05,"1","1","1",27.52,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-06,"1","1","1",30.58,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-07,"1","1","1",33.88,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-08,"1","1","1",36.398,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1,"1","1","1",11.32,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.1,"1","1","1",14.996,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.01,"1","1","1",18.362,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.001,"1","1","1",21.812,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-04,"1","1","1",25.303,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-05,"1","1","1",28.874,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-06,"1","1","1",31.971,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-07,"1","1","1",35.212,"1-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-08,"1","1","1",40.578,"1-1-1","1-1",1
"QuantStudio5","DAAN","N",1,"1","2","1",10.441,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",0.1,"1","2","1",13.714,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",0.01,"1","2","1",17.239,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",0.001,"1","2","1",20.399,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-04,"1","2","1",23.751,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-05,"1","2","1",27.122,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-06,"1","2","1",30.51,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-07,"1","2","1",34.341,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-08,"1","2","1",36.213,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1,"1","2","1",11.264,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",0.1,"1","2","1",14.664,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",0.01,"1","2","1",18.253,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",0.001,"1","2","1",21.603,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-04,"1","2","1",25.082,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-05,"1","2","1",28.72,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-06,"1","2","1",31.891,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-07,"1","2","1",35.201,"1-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-08,"1","2","1",38.256,"1-2-1","2-1",1
"QuantStudio5","DAAN","N",1,"1","3","1",11.672,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",0.1,"1","3","1",15.116,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",0.01,"1","3","1",18.394,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",0.001,"1","3","1",21.81,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-04,"1","3","1",24.911,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-05,"1","3","1",28.422,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-06,"1","3","1",31.681,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-07,"1","3","1",35.81,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-08,"1","3","1",38.941,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1,"1","3","1",12.532,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",0.1,"1","3","1",16.083,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",0.01,"1","3","1",19.447,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",0.001,"1","3","1",23.045,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-04,"1","3","1",26.225,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-05,"1","3","1",29.8,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-06,"1","3","1",32.841,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-07,"1","3","1",35.979,"1-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-08,"1","3","1",39.307,"1-3-1","3-1",1
"QuantStudio5","DAAN","N",1,"2","1","1",10.704,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",0.1,"2","1","1",14.116,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",0.01,"2","1","1",17.46,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",0.001,"2","1","1",20.72,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-04,"2","1","1",23.929,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-05,"2","1","1",27.375,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-06,"2","1","1",30.793,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-07,"2","1","1",33.667,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-08,"2","1","1",37.111,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1,"2","1","1",11.383,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.1,"2","1","1",15.001,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.01,"2","1","1",18.56,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.001,"2","1","1",21.973,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-04,"2","1","1",25.368,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-05,"2","1","1",28.833,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-06,"2","1","1",32.273,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-07,"2","1","1",35.406,"2-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-08,"2","1","1",38.097,"2-1-1","1-1",1
"QuantStudio5","DAAN","N",1,"2","2","1",10.659,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",0.1,"2","2","1",13.931,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",0.01,"2","2","1",17.3,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",0.001,"2","2","1",20.621,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-04,"2","2","1",22.996,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-05,"2","2","1",27.267,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-06,"2","2","1",30.541,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-07,"2","2","1",34.244,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",1e-08,"2","2","1",37.223,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1,"2","2","1",11.42,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",0.1,"2","2","1",14.881,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",0.01,"2","2","1",18.347,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",0.001,"2","2","1",21.802,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-04,"2","2","1",24.638,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-05,"2","2","1",28.75,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-06,"2","2","1",32.194,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-07,"2","2","1",35.528,"2-2-1","2-1",1
"QuantStudio5","DAAN","ORF1ab",1e-08,"2","2","1",40.392,"2-2-1","2-1",1
"QuantStudio5","DAAN","N",1,"2","3","1",11.837,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",0.1,"2","3","1",15.211,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",0.01,"2","3","1",18.506,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",0.001,"2","3","1",21.778,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-04,"2","3","1",25.281,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-05,"2","3","1",28.489,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-06,"2","3","1",31.695,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-07,"2","3","1",34.606,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",1e-08,"2","3","1",39.089,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1,"2","3","1",12.656,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",0.1,"2","3","1",16.124,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",0.01,"2","3","1",19.537,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",0.001,"2","3","1",22.983,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-04,"2","3","1",26.571,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-05,"2","3","1",29.869,"2-3-1","3-1",1
